hex_id,registered_population,registered_senior_population,demand_index_final,access_cost_m0,access_cost_m3,official_400m_ok_m0,vulnerable_m3_final,hidden_vulnerable_final,access_cost_m4_ref_min,senior_hidden_robust,district_name,admin_name,admin_code
8930e1cf583ffff,2953.218460511434,748.5357699270957,0.3469271135126432,378.2941600917261,413.1306905693665,True,True,True,7.467495379397692,True,강동구,천호1동,11250610
8930e1cf587ffff,2953.4555041143835,748.5958520436789,0.33356440861957015,265.1073053364928,291.4081640254077,True,True,True,5.203958215864489,True,강동구,천호1동,11250610
8930e1cf58fffff,3215.55273603109,771.8445848984993,0.3170298600959721,190.5288245070923,208.12549367383167,True,True,True,3.740010258842923,True,강동구,천호1동,11250610
8930e1cf597ffff,2953.865009630807,748.5371363946034,0.31160282542546935,262.09558340165313,287.17381229847155,True,True,True,5.17220618640191,True,강동구,천호1동,11250610
8930e1cf5a3ffff,3355.544498155741,681.5607695348378,0.28737682507114587,217.80594340839752,236.62672428364232,True,True,True,4.275450000238915,True,강동구,명일1동,11250530
8930e1cf5abffff,2906.5070751120684,621.6836734290679,0.3983292272446151,267.0720690316986,303.11678981596793,True,True,True,5.248210197022378,True,강동구,길동,11250740
8930e1cf5afffff,2906.7284312775973,621.7139103762972,0.23593840345896946,197.6708972949205,220.56541336700897,True,False,False,4.052845959789031,True,강동구,길동,11250740
8930e1cf5b7ffff,3455.0089660203807,694.8278145300657,0.3661836628670507,258.9722361473781,284.92138206391144,True,True,True,5.235207952833971,True,강동구,명일1동,11250530
8930e1cf5c3ffff,4082.146975372593,847.8840439358426,0.36006188497697755,179.2983512564771,196.521347057843,True,True,True,3.519560228367884,True,강동구,천호3동,11250630
8930e1cf5d3ffff,4089.388932982752,849.2738970561893,0.37968550500120146,412.7362433906995,441.6949492746154,False,True,False,8.12059992767524,False,강동구,천호3동,11250630
8930e1cf5d7ffff,4054.1407120747713,846.1849210551103,0.3596283974906296,248.09982120591096,271.3054952273897,True,True,True,4.895413214205277,True,강동구,천호3동,11250630
8930e1cf5dbffff,4005.117913746642,833.3803975520015,0.4446555993855172,186.67319906363068,200.62714176297513,True,True,True,3.6643257593971947,True,강동구,천호3동,11250630
8930e1cf62bffff,2513.0723727633117,539.6027799350634,0.27375144157053066,271.30596372964686,300.54777796865216,True,True,True,5.351450303524773,True,송파구,오금동,11240600
8930e1cf62fffff,1856.8117930365233,392.6126960804095,0.1820251116586191,417.70252432106776,463.5797156288535,False,True,False,8.45036284285424,False,송파구,오금동,11240600
8930e1cf633ffff,1155.403851689798,226.48386793342002,0.10454777139729915,642.3559275182467,724.4514375847996,False,True,False,13.15730960745567,False,송파구,오륜동,11240590
8930e1cf64fffff,2348.858695286925,430.86413108578154,0.27337006010705805,360.77146888731966,396.96157400637617,True,True,True,7.0818103151955345,True,송파구,송파2동,11240620
8930e1cf663ffff,2507.0182704510007,537.6607397508515,0.2112014664647957,325.39954061014953,357.9917630539744,True,True,True,6.640946553378032,True,송파구,오금동,11240600
8930e1d0a6bffff,2015.8676073007257,582.9498633494793,0.1764598393529083,363.64741230080597,408.7189615030581,True,True,True,7.14939203041432,True,강북구,우이동,11090740
8930e1d100fffff,1828.8697850587864,346.00147702746267,0.13282694918730406,396.4690631098243,462.3185004792341,True,False,False,7.843532752249653,True,은평구,진관동,11120710
