candidate_priority_rank,rank,district_name,admin_name,admin_code,hex_id,primary_reason,vulnerability_m3_final,demand_index_final,access_cost_m0,access_cost_m3,registered_population,registered_senior_population,centroid_x,centroid_y,candidate_node_id,candidate_snap_distance_m,candidate_x,candidate_y,nearest_bus_stop_m,nearest_bus_stop_id,nearest_bus_stop_name,nearest_bus_passengers_sum,bus_stop_count_300m,bus_stop_count_400m,nearest_road_m,nearest_road_name,nearest_road_highway,nearest_road_edge_length_m,recommended_action,site_feasibility,manual_check_required,manual_check_items
22,108,송파구,송파1동,11240610,8930e1cabafffff,high_demand_plus_near_400m_distance,0.045712089164109265,0.2753846157982163,338.10457663539273,367.3477762483447,2835.3633586320284,501.65439269812845,965344.8021952012,1945580.5143321378,1809559223,20.137956560397054,965363.815413406,1945573.8784578228,236.89649565165678,123000518,호수임광아파트,75960.0,7,10,1.3208982503660796e-07,백제고분로41길,residential,40.108237981203956,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
23,237,송파구,가락2동,11240670,8930e1cf25bffff,near_400m_distance,0.03855141877703504,0.23776240527437606,335.22902404822685,360.7418294034093,2750.8850050517435,490.9734862058708,967526.9747024623,1943640.6972348387,8883179687,18.578991146533898,967533.4669933688,1943623.289504636,107.01502313711461,123000261,문정시영.가락프라자아파트,110785.0,7,15,5.181214270420849e-07,프라자 아파트 주민 산책로 1,footway,81.31036159131503,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
24,217,노원구,상계10동,11110740,8930e1c2103ffff,near_400m_distance,0.03932118322184959,0.24214865667181523,329.4393579123705,361.0242789979032,2830.843210027726,530.8969031548763,961199.570593542,1962262.3741007303,4662875021,32.97040791224207,961192.2588608336,1962294.5235387145,139.40407068601948,110000083,상계주공7단지,188446.0,7,15,3.3038875485834413e-07,,service,45.43251432079635,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
25,96,강서구,발산1동,11160670,8930e0aed4bffff,high_demand_plus_near_400m_distance,0.04675677912471729,0.27308760778372054,354.03681190398635,379.01052651592977,1386.8824670665292,240.52210220749768,940747.3574925843,1951154.5822853171,5824749339,42.00176295583028,940788.3795663504,1951145.5635517405,198.20628663688439,115000938,마곡역4번출구,172159.0,6,9,2.1236631336179308e-07,,tertiary,9.964926100103797,stop_relocation_or_pedestrian_connection_review,desktop_possible_road_proxy,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
26,205,양천구,신정6동,11150690,8930e0ac99bffff,near_400m_distance,0.03982276784809435,0.24617589114609717,337.51073473540947,359.4226014970944,2663.3417778818166,440.59286549556856,944808.2890872699,1946540.9750821653,4631067768,34.797023308998796,944796.8883063236,1946573.8514418327,148.49513433423314,114000075,삼성아파트정문,55152.0,4,12,3.6415741707800273e-07,,"['residential', 'service']",337.51073473540947,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
27,197,송파구,가락1동,11240660,8930e1cab47ffff,near_400m_distance,0.040131830754075205,0.25279816493146856,328.18875107296026,352.3755344830515,2381.8468328237846,403.09255706297654,964796.7104812264,1944401.3143044407,12373950358,40.389579204841326,964791.0977534464,1944441.3119968143,100.25258014997146,123000096,석촌동남현교회앞,234714.0,3,4,3.3002729025542635e-07,,footway,99.85867461549407,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
28,162,강서구,염창동,11160510,8930e1db0d3ffff,near_400m_distance,0.04210236843855698,0.23266043728453603,370.006081015293,402.95428328667356,3192.3234809103715,434.28657333537274,944856.9599558017,1950488.1408594134,2598208145,4.01123765106766,944855.450995087,1950484.424266208,289.0527120466534,115900002,동아3차아파트,31944.0,3,7,1.1482561980814886e-07,양천로75길,service,81.6995166046533,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
29,557,강남구,개포4동,11230710,8930e1c8433ffff,near_400m_distance,0.030305289575515638,0.16664618500544678,384.0690336796656,411.4611510926828,2252.6921352840354,397.30069779962264,960274.1813909165,1942759.3705792893,3011699093,50.44062329959616,960307.1548536604,1942721.199815169,172.10173084071718,122000259,현대아파트,232911.0,3,7,1.5753286223081734e-07,,service,101.42071925575581,access_route_improvement_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
30,257,강동구,천호2동,11250730,8930e1c1b0bffff,near_400m_distance,0.03767197706662795,0.20140789279313526,390.7949498394896,419.09903958739267,2306.767903591975,471.87921736021815,966816.072806723,1949940.153505289,3844538995,27.13074044746414,966818.1205562494,1949967.2068562664,307.1283036960997,124000057,천호동공원,404229.0,0,7,3.250486412843676e-07,올림픽로91길,residential,27.265778628202654,new_bus_stop_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
31,326,광진구,군자동,11050540,8930e1c1edbffff,near_400m_distance,0.03559514294952248,0.20124818515219245,365.83794443887007,396.32322736073996,1870.9649043764487,313.85147314734223,962687.9315958074,1950608.2848467908,3846713133,15.159227317827616,962695.9461753902,1950595.417497142,132.97704129213494,104000159,능동교회앞,384572.0,8,10,4.151573592176198e-07,능동로,residential,41.020783459515414,access_route_improvement_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
