hex_id,origin_node_id,access_cost_m3_k1_stored,mean_cost_k1,mean_cost_k2,mean_cost_k3
8930e1c066bffff,3831193192,244.21646012787346,244.21646012787346,266.2061597066969,282.22663740350873
8930e1c066fffff,9797018723,160.59174692693944,160.59174692693944,178.43541021584582,193.96094714621486
8930e1c0673ffff,3830945693,142.3087256605715,142.3087256605715,160.79488451979435,169.62711965910964
8930e1c0677ffff,11037629775,97.01915401738846,97.01915401738846,118.76286461516966,129.30277676091023
8930e1c067bffff,3830942639,64.83500772840611,64.83500772840611,96.13668044302683,124.86106488970889
8930e1c0683ffff,7286409060,207.49955736673684,207.49955736673684,230.7014917232455,247.05033504688632
8930e1c0687ffff,7025759596,210.72226433726786,210.72226433726786,217.63807555143353,346.8341230800774
8930e1c0693ffff,3836213586,84.11859369995403,84.11859369995403,101.98885900340771,130.45547577901493
8930e1c0697ffff,2655579443,331.958622378497,331.958622378497,335.3492675196125,341.0900233760948
8930e1c06a3ffff,3830873956,206.751430937524,206.751430937524,222.77158223672842,263.9656834642858
8930e1c06a7ffff,3830773022,0.0,0.0,16.020151299204432,82.02323038670296
8930e1c06afffff,3830873692,187.4492000941483,187.44920009414827,208.54256186926978,228.4359303604955
8930e1c06b3ffff,3830773113,332.86902704660474,332.8690270466047,361.4744360772296,379.43994109991127
8930e1c06b7ffff,3830874306,53.37700268899867,53.37700268899867,79.57290916439896,92.87367969641063
8930e1c06cfffff,5235900640,967.0873082772007,967.0873082772005,1049.6193943372377,1108.9961633776877
8930e1c0c43ffff,5544507939,377.9295344630981,377.9295344630981,463.423792883955,494.44690147103523
8930e1c0c47ffff,5544473399,372.1803951713778,372.1803951713778,376.295448648135,431.91993643645384
8930e1c0c53ffff,7870585600,318.69214845690993,318.69214845690993,348.71931574028264,361.32195028761976
8930e1c0c5bffff,9810804323,566.4238987862321,566.423898786232,675.1048735883697,726.8639302548082
8930e1c0ccbffff,7126122513,34.819600968209876,34.819600968209876,119.32756347795619,165.91323562555286
8930e1c0e03ffff,7114961764,139.32459519343396,139.32459519343396,241.37897409403706,296.90661217784896
8930e1c0e13ffff,10178242155,184.01957026582596,184.01957026582596,194.80911830505977,249.02363076181825
8930e1c0e1bffff,9495673004,52.397941829620905,52.397941829620905,72.06302048435828,81.03880372141849
8930e1c0e53ffff,9446312853,440.9476970825456,440.9476970825456,528.9924362437637,568.8572162948109
8930e1c0e83ffff,9877401666,157.06333014710097,157.06333014710097,172.1575108438528,189.17156700411132
8930e1c0e87ffff,10794702896,430.2949240509024,430.29492405090247,436.2785855108668,444.34681882204654
8930e1c0e8bffff,5141276824,87.91582186440515,87.91582186440515,88.42075891430152,99.54637679710005
8930e1c0e8fffff,10794702869,417.4671492750465,417.4671492750465,423.46293961021604,437.54101922291056
8930e1c0e97ffff,2470948000,0.0,0.0,14.56854029640468,90.84882503419277
8930e1c0ea7ffff,5141276693,1384.4874118001533,1384.4874118001533,1399.055952096558,1427.0757589884063
8930e1c0eabffff,2470948002,633.2838869076987,633.2838869076987,710.4062753893407,738.8302555232872
8930e1c0ec3ffff,9445704697,99.0140414921031,99.0140414921031,162.35630504743526,199.94178038107512
8930e1c0ec7ffff,12608846770,255.79656779808664,255.79656779808667,257.01434812661194,264.69610521442854
8930e1c0ecbffff,2460108283,160.69994893643198,160.699948936432,201.9136743673725,229.76779331066112
8930e1c0ecfffff,9391482348,213.98424931493577,213.98424931493574,234.93144770750683,243.99966214435585
8930e1c0edbffff,4000825045,118.0657193359917,118.0657193359917,131.64834774251145,171.9943679545086
8930e1c1007ffff,4173466344,455.84887293765024,455.8488729376502,495.8395488886586,546.8565062455243
8930e1c100fffff,3800707799,577.0837353448117,577.0837353448117,675.27821645099,745.4343111396093
8930e1c1017ffff,3800707930,216.19000218668378,216.19000218668378,304.0838558003053,358.06499355652437
8930e1c101bffff,4115387180,401.61708291517414,401.61708291517425,405.0397027688472,411.67475488469853
8930e1c1023ffff,4935224417,370.1174935486016,370.1174935486016,388.94278080002454,408.266813398447
8930e1c1027ffff,9925220556,191.71672445847048,191.7167244584705,191.84999765256237,204.85451010247994
8930e1c102bffff,4935224412,863.3014676336243,863.3014676336246,900.0785256099464,929.2807358598166
8930e1c1033ffff,3785302806,0.0,0.0,98.19448110617836,197.00699471617978
8930e1c1037ffff,3800707965,195.03907924795612,195.03907924795612,245.98604996064253,266.00025001399405
8930e1c103bffff,4946570016,468.42490140054485,468.42490140054485,566.6193825067232,665.4318961167246
8930e1c104bffff,3856575582,221.3758976431002,221.37589764310016,232.31603747098853,240.14579374076743
8930e1c1053ffff,1979127164,302.6529892706085,302.6529892706085,332.5966710369645,349.0899985879891
8930e1c105bffff,436808715,270.6597505661524,270.6597505661524,314.3399978638626,356.1507844127812
8930e1c1063ffff,10096782593,1248.2652145620232,1248.2652145620234,1267.0905018134463,1286.4145344118688
8930e1c1067ffff,4935194954,947.589233585475,947.589233585475,966.414520836898,985.7385534353203
8930e1c1077ffff,8399238982,875.4161045165757,875.4161045165757,914.5411807306641,940.631809649975
8930e1c108bffff,3832903587,461.52626570126563,461.52626570126563,500.36268728154363,520.1892553348815
8930e1c108fffff,3832604892,349.29761203702543,349.2976120370254,396.4533922008352,422.25157388010683
8930e1c1093ffff,4197387951,103.09488804225495,103.09488804225495,130.63675513851746,142.24468847215346
8930e1c1097ffff,12389288182,183.63114853763483,183.63114853763483,215.66146377952546,249.34760188516046
8930e1c109bffff,3832676320,145.2648767642726,145.2648767642726,192.43470631023112,211.30454421159388
8930e1c10a3ffff,12452390568,106.57941392390863,106.57941392390863,134.378322824207,143.8763125447328
8930e1c10a7ffff,4173501593,156.14567865704805,156.14567865704802,185.98192691112533,228.79240644954734
8930e1c10abffff,3800707998,224.24397240026585,224.24397240026582,261.2687522277837,283.7529010822239
8930e1c10afffff,12451310080,66.17866314167675,66.17866314167675,82.92749279613611,139.80994566470972
8930e1c10b3ffff,4634599281,173.58512927574296,173.58512927574296,244.38175236478304,276.0332105698516
8930e1c10bbffff,3832604922,146.05423286997356,146.05423286997356,175.40767522101348,216.3397748766803
8930e1c10c3ffff,1979137815,85.83048512980261,85.83048512980261,147.10884577011024,173.79204010882677
8930e1c10c7ffff,3832902807,111.34504574439453,111.34504574439453,114.72212821414195,145.0535366307388
8930e1c10cbffff,13637818771,85.79607629110642,85.79607629110642,162.41282167021623,204.4673905011185
8930e1c10d3ffff,6315571556,96.1309476738397,96.1309476738397,107.15784241099611,126.09383073373203
8930e1c1103ffff,11639928741,193.65187326777644,193.65187326777647,199.5268294004187,223.71743998865364
8930e1c1107ffff,12458635349,163.80067431345313,163.80067431345316,185.00288459890822,195.98692544915477
8930e1c110bffff,12458635029,24.870604586014476,24.87060458601448,63.84031061502866,132.46349952401354
8930e1c110fffff,12452956129,15.808195303907663,15.808195303907663,197.41277819297417,269.48030395058714
8930e1c1113ffff,3832415884,172.45835844561083,172.45835844561083,264.44337896393733,296.5266478457335
8930e1c1117ffff,12458609169,152.0713238239945,152.0713238239945,224.38076136820712,258.6671663489356
8930e1c111bffff,3832415601,448.95085408823894,448.95085408823894,546.6899682972831,602.5194512898779
8930e1c1123ffff,7625690285,221.88842708542222,221.88842708542222,240.49935445991193,247.6455994040883
8930e1c1127ffff,12874792882,145.53141250098466,145.53141250098466,197.4269407613587,236.34153746738025
8930e1c112bffff,3840713067,164.88802169734464,164.8880216973446,166.26044817677024,181.4510775850031
8930e1c112fffff,4175101632,0.0,0.0,96.2780849599181,148.6400267684319
8930e1c1143ffff,10708182310,0.0,0.0,56.834504485492666,178.36128329651694
8930e1c1147ffff,3832415304,306.723852369037,306.723852369037,344.0627925922628,390.1920888488764
8930e1c1153ffff,12459940894,0.0,0.0,83.42714651976482,123.6077087544097
8930e1c1157ffff,4173760836,214.86675976951466,214.86675976951463,236.13400971039664,276.897552875317
8930e1c115bffff,4935195273,348.5342625566144,348.5342625566144,385.3113205329364,414.5135307828065
8930e1c1163ffff,10309480834,0.0,0.0,53.34584231585073,148.49851079008792
8930e1c1167ffff,3840739110,124.25362963921519,124.25362963921519,165.86931272726866,196.31907089308547
8930e1c116bffff,4676719585,31.411131252738322,31.411131252738322,136.4225447908022,179.53228617007724
8930e1c1183ffff,3807501190,222.66938136640636,222.66938136640636,242.39087514400333,281.9183479501348
8930e1c1187ffff,3832270952,252.38076114592388,252.38076114592397,270.59905299885446,290.9894673632827
8930e1c118bffff,3832416076,102.63280794213938,102.63280794213938,177.23881561291037,207.07266032945907
8930e1c118fffff,12435755911,61.772553144938925,61.772553144938925,85.7172236866391,118.50978249484712
8930e1c1197ffff,11780843381,155.00917819712942,155.00917819712942,181.13830709285804,221.88406559513965
8930e1c119bffff,12435792885,63.790586643502905,63.790586643502905,159.95563418426087,194.3938990845131
8930e1c11a3ffff,12452940139,272.637290067486,272.63729006748605,278.54248729319926,289.8534093484055
8930e1c11abffff,3832416082,79.02943059654817,79.02943059654817,102.15807867717686,140.2321763445759
8930e1c11afffff,10255727447,24.973491467657357,24.973491467657357,161.72292902736154,214.86294592816338
8930e1c11b3ffff,12393170388,146.52841949135237,146.5284194913524,146.7327117852562,156.07338160720187
8930e1c11b7ffff,12452956367,238.6570084546595,238.65700845465955,249.89861178727006,254.74132879654283
8930e1c11bbffff,3832270875,62.00958262410556,62.00958262410556,81.62545458241547,96.07112939318093
8930e1c11c3ffff,3832415692,225.45081155799568,225.4508115579957,304.78233715082877,362.3415706121036
8930e1c11c7ffff,3785302842,285.16734121344086,285.16734121344086,325.7263116208764,370.4728127854241
8930e1c11cbffff,3800708027,309.9539415409819,309.9539415409819,314.50175626466597,329.0666313538422
8930e1c11cfffff,3832415558,450.05250838063995,450.05250838064,487.6400810171082,523.0403155276389
8930e1c11d3ffff,3832415797,395.9074225604693,395.9074225604693,425.7436708145466,468.55415035296863
8930e1c11d7ffff,8502787026,316.6361735647273,316.6361735647273,347.60983236577226,384.75362633996764
8930e1c11dbffff,3832415586,266.845657321772,266.845657321772,370.59454635944564,425.0683415413884
8930e1c1203ffff,2436216385,0.0,0.0,18.6263068665297,40.056566564748664
8930e1c1207ffff,2442109153,73.47402702564702,73.47402702564702,153.54713127521774,198.58041010136785
8930e1c120bffff,3854893950,179.3187710921532,179.3187710921532,202.87193516385537,211.6961756437669
8930e1c120fffff,4179354308,108.0574921602082,108.0574921602082,109.51727084422444,143.99910111934744
8930e1c1213ffff,4179011705,159.8898980526948,159.88989805269478,170.13092614137707,189.3230898339954
8930e1c1217ffff,3856575435,171.19764601344352,171.19764601344352,204.41976023515457,240.14989902299308
8930e1c121bffff,4179354316,139.31580734731853,139.31580734731853,175.16665300148816,187.12795353854463
8930e1c1223ffff,3714679342,278.3182143833117,278.3182143833117,288.4015955822923,312.93489832161094
8930e1c1227ffff,4179354386,160.44522698904032,160.44522698904032,171.2895995150658,207.8229889153455
8930e1c122bffff,10236589280,78.46953056836402,78.46953056836402,84.7352102705101,111.93262931985765
8930e1c122fffff,9561832600,222.354592785252,222.354592785252,233.36682120384071,268.05521115452837
8930e1c1233ffff,4179354387,248.33452657114745,248.33452657114745,251.4600095617713,253.44450901421806
8930e1c1237ffff,3785495812,117.88775193601701,117.88775193601701,123.8885810557106,132.04274963912184
8930e1c123bffff,3846729633,0.0,0.0,24.137281711203624,53.524497917922105
8930e1c1267ffff,3846729644,165.9957618956882,165.9957618956882,170.38693688466796,204.85321708515525
8930e1c1273ffff,8499098859,243.31829321668445,243.31829321668448,244.77807190070072,298.0320281137095
8930e1c1277ffff,4179264032,135.82639181016435,135.82639181016435,138.9071811491986,148.20208112934992
8930e1c1283ffff,4179009475,135.9731214932043,135.9731214932043,158.88160683869313,212.50463594819033
8930e1c1287ffff,8498915641,294.6952508796586,294.6952508796586,332.2900514609065,365.4661596239287
8930e1c128fffff,4179009460,200.7819673707655,200.7819673707655,253.85020729150494,272.3266755373056
8930e1c1293ffff,3856575248,329.7792222507378,329.77922225073786,356.5951372945359,385.96469783728304
8930e1c1297ffff,3856575611,234.927087531295,234.92708753129503,250.29399861924492,259.5597197679776
8930e1c129bffff,4011204259,217.06008752347265,217.06008752347265,229.16909455995105,272.19807067593666
8930e1c12a3ffff,3846108101,378.894698133367,378.894698133367,445.7948141518955,469.79918752517443
