hex_id,analysis_valid_final,access_cost_m0,access_cost_m3,cost_m3_norm_final,demand_norm_final,demand_index_final,vulnerability_m3_final,vulnerability_threshold_final,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,registered_senior_share,poi_total_count,baseline_minmax_product_hidden,winsorize_1_99_product_hidden,log1p_product_hidden,rank_product_hidden,additive_minmax_hidden,delta_cost_m3_minus_m0,delta_pct_m3_over_m0,any_normalization_hidden_flag,robust_core_hidden_flag,variant_hidden_count,normalization_sensitive_flag,district_name,admin_name,admin_code
8930e036993ffff,True,144.05995577105892,206.01539820984726,0.04992872444906426,0.6085481867067457,0.32472953512063707,0.030384034728058815,0.028838610230807495,True,True,3155.6349087657595,535.6502127663217,0.1697440382847795,164,True,True,True,True,True,61.95544243878834,0.43006706552963514,True,True,4,False,관악구,행운동,11210570.0
8930e03699bffff,True,184.37013653342834,216.6145556204233,0.05249747617511661,0.6899006652138326,0.3669444983002964,0.03621804373526028,0.028838610230807495,True,True,3567.138096739801,651.8430646627569,0.18273558437743448,290,True,True,True,True,True,32.24441908699495,0.17488959813808394,True,True,4,False,관악구,인헌동,11210620.0
8930e0369a7ffff,True,225.21502972514412,263.33856042796776,0.06382124120173069,0.44741042668236736,0.24111284966600366,0.028554288757464612,0.028838610230807495,True,False,2584.5471338698603,496.29514366763027,0.19202402508501523,175,False,False,False,True,False,38.12353070282364,0.16927613911624897,True,False,1,True,,,
8930e0369afffff,True,218.92480307291106,250.05004194651534,0.060600711166781965,0.6325073550250793,0.33716228980660035,0.03833039553274004,0.028838610230807495,True,True,3766.9470148747814,724.8635855568373,0.19242733776039925,220,True,True,True,True,True,31.125238873604275,0.14217319571249437,True,True,4,False,관악구,남현동,11210630.0
8930e0369b7ffff,True,371.6522415588778,411.0803630773372,0.0996271072592505,0.41899562312551936,0.22636800220809744,0.04174332188628262,0.028838610230807495,True,True,2746.1983717646744,571.1975952969133,0.20799575193465303,30,True,True,False,True,False,39.42812151845942,0.10608874939938483,True,False,3,True,동작구,사당1동,11200630.0
8930e0369c7ffff,True,139.99089134783588,173.6951983836057,0.042095783973326674,0.6177817781330872,0.3295209776093262,0.02600600827494807,0.028838610230807495,True,False,3574.025997403668,653.7903939789118,0.18292827037460116,48,False,False,True,True,True,33.70430703576983,0.24076071458124096,True,False,2,True,,,
8930e0369d7ffff,True,368.13421000968464,515.113423961691,0.12483997035406041,0.4462585943288645,0.2405151474043814,0.055710909686260114,0.028838610230807495,True,True,3306.3072332150746,589.7071822605201,0.17835825307954972,15,True,True,True,True,True,146.97921395200632,0.39925442937818706,True,True,4,False,관악구,인헌동,11210620.0
8930e036c0fffff,True,171.77191432848934,200.10290146014066,0.04849580524211549,0.506751745672311,0.27190590775303736,0.024575333964226433,0.028838610230807495,True,False,2728.0079137396733,456.1526453405897,0.16721089518955082,63,False,False,True,False,False,28.330987131651312,0.1649337567343654,True,False,1,True,,,
8930e036c13ffff,True,164.47483507861065,272.2918123134134,0.06599110059183386,0.5378914584661357,0.2880647495380724,0.03549604934312699,0.028838610230807495,True,True,3187.68077925955,511.87325636247795,0.16057858104643036,56,True,True,True,True,True,107.81697723480275,0.6555226347135213,True,True,4,False,관악구,서원동,11210640.0
8930e036c27ffff,True,321.4196936650333,426.6130250320375,0.10339151518912158,0.5149247525826974,0.2761469977864407,0.05323885037790863,0.028838610230807495,True,True,2931.379319672239,425.2651252395216,0.1450733865745737,17,True,True,True,True,True,105.19333136700419,0.3272771813311201,True,True,4,False,관악구,청룡동,11210800.0
8930e036c37ffff,True,342.4851344532903,406.98349547044734,0.09863421364243287,0.48340847863023195,0.25979275303718596,0.047680615157777745,0.028838610230807495,True,True,2931.207321847206,425.2401729325606,0.1450733865745737,82,True,True,True,True,True,64.49836101715704,0.188324556393129,True,True,4,False,관악구,청룡동,11210800.0
8930e036c53ffff,True,242.4448511737084,295.0067077530259,0.07149615392837377,0.49919728467522334,0.2679857900296856,0.03569068590576599,0.028838610230807495,True,True,2598.948524296182,805.0580316737146,0.30976297689148397,30,True,True,True,True,True,52.56185657931752,0.2167992280506616,True,True,4,False,관악구,삼성동,11210820.0
8930e036c57ffff,True,137.15538811472567,155.76858668651172,0.03775119195007472,0.5792143274050947,0.30950777650846856,0.021866031254103153,0.028838610230807495,True,False,2598.8307812289036,804.9619011904621,0.3097400211682199,141,False,False,True,False,True,18.613198571786057,0.1357088396426451,True,False,1,True,,,
8930e036c87ffff,True,302.1132538520751,393.7828257433858,0.09543497413377144,0.5491804458778182,0.29392276636393094,0.05241102164712265,0.028838610230807495,True,True,3294.0519993054772,524.7761786256145,0.15931022908450113,40,True,True,True,True,True,91.66957189131068,0.303427839469086,True,True,4,False,관악구,서원동,11210640.0
8930e036c97ffff,True,82.4631180229541,90.9736701840155,0.022047863170456216,0.8762514629838228,0.46364458919764956,0.019319472358779406,0.028838610230807495,True,False,3449.4467966914135,452.13478498346313,0.13107457851419385,694,False,False,True,False,True,8.510552161061398,0.10320434595612106,True,False,1,True,,,
8930e036c9bffff,True,133.83337586144637,149.85068136240366,0.036316961951683664,0.6023795666943929,0.3215285500803583,0.021876595804111956,0.028838610230807495,True,False,2564.5238259500456,523.2165382164126,0.20402093087303774,211,False,False,True,False,True,16.017305500957292,0.11968094952293157,True,False,1,True,,,
8930e036ca7ffff,True,121.03477991069504,130.25069798152876,0.03156682104991894,0.6047503481150114,0.3227587824250276,0.01909004601882275,0.028838610230807495,True,False,3091.200755781815,544.3368960358512,0.1760923793182043,271,False,False,True,False,True,9.215918070833723,0.07614272589774317,True,False,1,True,,,
8930e036cb3ffff,True,228.31576080950722,334.2077812361538,0.08099670395062476,0.4156411146908335,0.22462729986374558,0.03366556031632111,0.028838610230807495,True,True,3277.2533145479138,520.1529336383414,0.15871612100576815,48,True,True,False,True,False,105.89202042664655,0.46379636715047634,True,False,3,True,관악구,서원동,11210640.0
8930e036cd7ffff,True,233.39893673992552,301.30212428014835,0.07302187540262306,0.5063237828337439,0.27168383172285476,0.036972712183470424,0.028838610230807495,True,True,2564.468443968469,523.2052391329776,0.20402093087303771,14,True,True,True,True,True,67.90318754022283,0.2909318632238963,True,True,4,False,관악구,신원동,11210650.0
