district_name,admin_name,admin_code,candidate_hex_count,robust_core_hidden_count,normalization_sensitive_count,registered_population_sum,registered_senior_population_sum,mean_delta_cost_m3_minus_m0,p90_delta_cost_m3_minus_m0,mean_delta_pct_m3_over_m0
송파구,삼전동,11240640.0,2,2,0,5584.955831626552,927.076290983988,26.74855531667569,32.879385398552486,0.08600553989974372
성동구,행당1동,11040560.0,2,2,0,4880.575722694895,799.7714462902096,17.993964348369076,20.81592137183672,0.08591683022189808
관악구,신림동,11210690.0,2,2,0,7407.842887063489,666.3876665433672,17.26612263571768,21.60146040629406,0.07814877422582713
강남구,대치4동,11230630.0,2,2,0,3798.8557837531744,480.2984203293738,24.216190374460595,28.813668933628954,0.09847150500002842
은평구,응암3동,11120730.0,3,1,2,7113.666844759062,1894.1267094732443,32.617001333870995,41.46748007396086,0.1379712649642045
강북구,삼양동,11090690.0,3,1,2,7688.155058831256,1828.870514064245,89.35570606772671,115.03235306625882,0.3417792180806583
은평구,녹번동,11120510.0,3,1,2,7143.995536627159,1695.6526134282635,123.16717054773784,133.73885651975843,0.4601177547077195
성동구,응봉동,11040580.0,3,1,2,8277.096432165783,1579.5556902462786,113.3535663236728,164.7090543567691,0.4688920524363225
양천구,신정2동,11150650.0,3,1,2,8385.532092762587,1413.3426369488088,30.25158840013078,32.03423748479359,0.11924390753927376
송파구,석촌동,11240630.0,3,1,2,7955.432660917788,1412.0551851121957,25.40526766572547,34.4763329535769,0.08507491662484085
강서구,화곡6동,11160610.0,3,1,2,7155.087103527713,1368.421675549566,48.58317773358031,64.40826150889521,0.17054882718474826
서대문구,북가좌1동,11130710.0,3,1,2,7027.283208791225,1349.9660927630007,40.14477122348637,46.88263686059813,0.12899007868025744
강남구,대치2동,11230790.0,3,1,2,5569.824691295631,874.9003585489959,31.15228614463973,32.904919630049974,0.09840454054359098
강남구,청담동,11230780.0,3,1,2,3954.633941291712,715.9325424827543,70.50591569688301,102.8987250765788,0.23105444212979906
강남구,논현1동,11230520.0,3,1,2,3708.3666215287894,554.3016186504329,57.86869125222605,87.05113528224416,0.1642206180299813
금천구,시흥5동,11180610.0,2,1,1,4841.204899820799,1367.3899919263165,175.0398416238753,274.66417986712287,0.5074051624773931
송파구,거여1동,11240530.0,2,1,1,5407.077983867335,1341.3751869888656,39.506237408893526,41.618288723804675,0.12411185521673247
성북구,정릉1동,11080620.0,2,1,1,6557.9157983801215,1268.5499333642942,112.95354719707844,121.61787530939054,0.48126341738880973
양천구,신월4동,11150600.0,2,1,1,5114.992881303249,1257.3382417449595,34.21387569271636,34.7631464344594,0.10922699163362204
금천구,독산2동,11180530.0,2,1,1,5068.611941192033,1207.5042388341788,47.6216071112521,59.37181853665233,0.15328204631708067
구로구,고척2동,11170620.0,2,1,1,4970.498790961976,1197.4044333517807,52.64707761956697,66.17539288270204,0.22124450763886322
