hex_id,access_cost_m0,access_cost_m3,cost_gap_m3_minus_m0,cost_gap_ratio_m3_over_m0,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,demand_index_final,m0_rank,m3_rank,rank_shift_m3_minus_m0,abs_rank_shift_m0_m3,m0_frozen_vulnerability,m3_under_m0_frozen_vulnerability,delta_vulnerability_m3_minus_m0,m0_frozen_vulnerable,m3_under_m0_frozen_vulnerable,new_environment_burden_vulnerable,resolved_environment_burden_vulnerable,m0_400_to_m3_over_400,diagnostic_label
8930e1c1293ffff,305.99740714749856,329.7792222507378,23.78181510323924,1.0777190085528268,True,False,1559.587600352618,276.11704966104065,0.19377996477257248,3735.0,3610.0,-125.0,125.0,0.028225243477874227,0.030418881417136747,0.00219363793926252,True,True,False,False,False,no_crossing
8930e1c1297ffff,214.14612760903776,234.927087531295,20.78095992225724,1.0970410259306516,True,False,1559.7127466501524,276.1392061762908,0.13805760820250929,3019.0,2941.0,-78.0,78.0,0.013797948205617604,0.015136915255228728,0.0013389670496111242,False,False,False,False,False,no_crossing
8930e1c129bffff,201.67699589220058,217.06008752347265,15.383091631272066,1.0762758864153974,True,False,1613.2640977749072,289.91693716151144,0.20549346015029998,2884.0,2743.0,-141.0,141.0,0.019781620096543648,0.021290480704140156,0.0015088606075965086,False,False,False,False,False,no_crossing
8930e1c12a3ffff,352.3778962647427,378.894698133367,26.516801868624327,1.0752510363155758,True,False,687.0082409464936,140.82756298167445,0.15321050601177638,3927.0,3808.0,-119.0,119.0,0.025369205055810053,0.027278264026762103,0.0019090589709520496,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c12a7ffff,379.51982344748967,409.9620931350886,30.442269687598923,1.0802125944596697,True,False,744.1692567790141,153.29330614711589,0.12124747664630274,3997.0,3909.0,-88.0,88.0,0.02126960061241089,0.02297569046065335,0.0017060898482424598,False,False,False,False,True,distance_standard_crossing
8930e1c12abffff,225.46804782654576,241.66730353712325,16.19925571057749,1.0718472345271721,True,False,733.6742392929898,152.95319192792388,0.1587109171539234,3125.0,2990.0,-135.0,135.0,0.016851311737548405,0.01806203188404653,0.0012107201464981246,False,False,False,False,False,no_crossing
8930e1c12afffff,75.09129052027772,81.10548596812194,6.014195447844216,1.0800917843623974,True,False,687.048637938272,140.8358438283439,0.19262002716465082,1105.0,1040.0,-65.0,65.0,0.0068829640225335385,0.007434232892800433,0.0005512688702668947,False,False,False,False,False,no_crossing
8930e1c12b3ffff,280.86684847871305,304.30491062190714,23.438062143194088,1.0834490160378272,True,False,1232.7381538846928,225.44446806199554,0.16796903813754166,3591.0,3465.0,-126.0,126.0,0.022289432341771883,0.02414946353873447,0.0018600311969625867,False,False,False,False,False,no_crossing
8930e1c12b7ffff,158.3507378640452,172.3610958326039,14.010357968558708,1.0884767457199191,True,False,1057.7010169351097,221.6731829839776,0.11944593684386537,2333.0,2218.0,-115.0,115.0,0.008732157800016386,0.009504750705274645,0.0007725929052582597,False,False,False,False,False,no_crossing
8930e1c12bbffff,61.44967815365685,66.04082220126782,4.5911440476109675,1.0747138827339449,True,False,975.7846379157073,185.60144244787867,0.19720956318600863,900.0,854.0,-46.0,46.0,0.00577329863726114,0.006204644194633513,0.00043134555737237273,False,False,False,False,False,no_crossing
8930e1c12c7ffff,167.88266963107847,182.251844775647,14.369175144568516,1.085590580469948,True,False,1629.5397402874426,294.0958314926721,0.1906839627409075,2466.0,2336.0,-130.0,130.0,0.015226136732379872,0.01652935061361906,0.0013032138812391885,False,False,False,False,False,no_crossing
8930e1c12cfffff,421.3596414968985,468.3560396973396,46.99639820044109,1.1115351200544132,False,False,1629.5047704501244,294.0895202115607,0.13304083125950594,4097.0,4050.0,-47.0,47.0,0.02609430493956186,0.02900473637373236,0.0029104314341704997,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c1303ffff,30.93592050688387,33.978353401520934,3.042432894637063,1.0983462862842583,True,False,2334.067124395018,284.15729420392177,0.23311582461316566,566.0,559.0,-7.0,7.0,0.003460812186916685,0.003801170213027244,0.00034035802611055883,False,False,False,False,False,no_crossing
8930e1c1307ffff,106.54699168587595,114.72610535493455,8.179113669058594,1.0767653177217094,True,False,2314.409595453119,380.03111933621983,0.24132675716296484,1537.0,1468.0,-69.0,69.0,0.012356035153817332,0.01330455011818073,0.0009485149643633974,False,False,False,False,False,no_crossing
8930e1c130bffff,319.46614013265787,353.3751696010889,33.909029468431015,1.106142796398862,True,True,2349.192015199184,210.85584953899837,0.2074006929724227,3784.0,3725.0,-59.0,59.0,0.031639109241157364,0.03499737277158288,0.0033582635304255162,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e1c130fffff,327.93634069899036,369.89360618108236,41.957265482092,1.127943323977638,True,True,2349.3805414692038,210.8727710450176,0.22988564908811882,3827.0,3783.0,-44.0,44.0,0.03615772233993764,0.040783861523569755,0.004626139183632118,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e1c1313ffff,0.0,0.0,0.0,,True,False,1947.159080166968,411.1834312822999,0.18824415166547326,225.5,225.5,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_crossing
8930e1c1317ffff,115.40278029624984,134.03486936574797,18.63208906949812,1.1614526878959743,True,False,2198.3715562007983,396.6436840810349,0.2144712583017836,1692.0,1725.0,33.0,33.0,0.011836395104058851,0.013747412908607903,0.0019110178045490516,False,False,False,False,False,no_crossing
8930e1c131bffff,52.31543795155131,57.255011768459,4.939573816907689,1.0944190474230986,True,False,1431.831903080284,175.7845510529801,0.19023556569446554,786.0,754.0,-32.0,32.0,0.004733047708742036,0.005179937564809538,0.0004468898560675014,False,False,False,False,False,no_crossing
8930e1c132bffff,197.8716254116878,215.36838380780603,17.496758396118224,1.0884247974398291,True,False,2013.40830826584,209.36870762762103,0.15843960085954942,2837.0,2722.0,-115.0,115.0,0.014761984537204982,0.016067310029717223,0.0013053254925122406,False,False,False,False,False,no_crossing
8930e1c1337ffff,104.5880692087809,120.02634671604594,15.438277507265042,1.1476103118076195,True,False,1506.3447449880891,251.95291550890047,0.10946035677399665,1507.0,1547.0,40.0,40.0,0.00524626246962302,0.006020664908588686,0.0007744024389656663,False,False,False,False,False,no_crossing
8930e1c133bffff,77.54141616085373,89.1308425826296,11.589426421775869,1.149461113758027,True,False,2017.8503065535733,257.58706704776216,0.17731542319380578,1132.0,1133.0,1.0,1.0,0.006515313384473204,0.007489099379399149,0.000973785994925945,False,False,False,False,False,no_crossing
8930e1c1343ffff,128.5359368718269,137.42664085219107,8.89070398036418,1.0691690137150498,True,False,2195.3225681444897,333.9527061913584,0.22036244331974456,1891.0,1767.0,-124.0,124.0,0.013561298047674097,0.014499319658327545,0.0009380216106534486,False,False,False,False,False,no_crossing
8930e1c1347ffff,173.6243758116594,185.6132655183113,11.98888970665189,1.069050728911803,True,False,2349.141617440369,210.85132599976404,0.2583808787713274,2540.0,2386.0,-154.0,154.0,0.0216125273428344,0.023104888109483385,0.0014923607666489855,False,False,False,False,False,no_crossing
8930e1c134bffff,363.9121167785872,389.33548580394665,25.423369025359477,1.0698612875284603,True,True,2095.223380816303,414.12647873933383,0.21401785931602973,3962.0,3843.0,-119.0,119.0,0.03724264933246304,0.039844468765799855,0.002601819433336816,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e1c134fffff,206.56983168827705,224.13585535414995,17.566023665872905,1.0850367332069129,True,False,2122.5845238466986,392.36746913435144,0.2737621705653064,2939.0,2823.0,-116.0,116.0,0.02729914162521569,0.029620571448376886,0.0023214298231611953,True,True,False,False,False,no_crossing
8930e1c1353ffff,51.567870987257265,57.48585705048566,5.917986063228398,1.1147611089992597,True,False,997.2999858344301,166.39731832606756,0.10986199430414617,770.0,758.0,-12.0,12.0,0.0025970419350659804,0.0028950813476517363,0.00029803941258575587,False,False,False,False,False,no_crossing
8930e1c1357ffff,92.48384618118205,103.31461360789189,10.83076742670984,1.1171098291640211,True,False,2143.148041442588,202.1719609755979,0.1578218574849465,1336.0,1311.0,-25.0,25.0,0.006871139887811642,0.007675817906235355,0.0008046780184237127,False,False,False,False,False,no_crossing
8930e1c135bffff,94.4530851891146,101.09863775381675,6.645552564702143,1.0703582371226559,True,False,1693.7759860241435,341.54148804073253,0.18243061694307197,1362.0,1291.0,-71.0,71.0,0.008177403267234875,0.008752750945358568,0.000575347678123693,False,False,False,False,False,no_crossing
8930e1c1363ffff,367.2466575038317,409.12810800450103,41.8814505006693,1.1140417472696327,True,False,2349.468276676582,210.88064587243335,0.15192226225784566,3974.0,3906.0,-68.0,68.0,0.026203573407507487,0.02919187470360772,0.0029883012961002334,False,True,True,False,True,threshold_crossing_under_environment_cost
8930e1c136bffff,94.10919508464434,106.63047549710302,12.52128041245868,1.1330505526181232,True,False,2823.924392434445,441.9059187991951,0.24545585595373642,1351.0,1354.0,3.0,3.0,0.011107569945818088,0.012585438265353641,0.0014778683195355528,False,False,False,False,False,no_crossing
8930e1c1373ffff,183.1966936402138,195.91234707916072,12.71565343894693,1.0694098413365452,True,False,2349.3301451533066,210.86824763529486,0.2949422273395334,2664.0,2522.0,-142.0,142.0,0.026146612571509433,0.027961444801586022,0.0018148322300765886,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c137bffff,75.91650753339769,81.70073185188463,5.784224318486935,1.0761919180218122,True,False,2438.151323836674,267.22702479882565,0.24257962018450188,1112.0,1046.0,-66.0,66.0,0.008851346284272286,0.009525747334746232,0.000674401050473946,False,False,False,False,False,no_crossing
8930e1c1383ffff,1095.8578886049975,1180.58741957581,84.72953097081245,1.0773179915496809,False,False,651.4679466630923,115.17486108834551,0.07806110432186869,4357.0,4354.0,-3.0,3.0,0.03779797824242666,0.04072044200476963,0.0029224637623429736,True,True,False,False,False,no_crossing
8930e1c139bffff,1276.4570287078675,1372.3413525688056,95.88432386093814,1.0751175493608274,False,False,651.4156749904728,115.165619831483,0.04203103527154551,4369.0,4364.0,-5.0,5.0,0.021075831635368674,0.022658996458558966,0.0015831648231902917,False,False,False,False,False,no_crossing
8930e1c13a3ffff,84.84910248955356,94.21983587780412,9.370733388250557,1.110439982431214,True,False,2274.9540327829604,391.43417559064267,0.20810564472464546,1211.0,1199.0,-12.0,12.0,0.008433087946542055,0.00936443803119904,0.0009313500846569855,False,False,False,False,False,no_crossing
8930e1c13a7ffff,225.4371544289461,241.76507822163487,16.32792379268878,1.0724278295387863,True,False,2312.8740148940024,388.8710580780326,0.2369302526089936,3124.0,2991.0,-133.0,133.0,0.025648865149910115,0.027506556782851126,0.0018576916329410102,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c13abffff,232.6152407865353,256.81726516354854,24.20202437701323,1.1040431585444686,True,False,2312.638875293332,388.8315232894017,0.23672876528811168,3194.0,3124.0,-70.0,70.0,0.02644215449217574,0.02919327976426251,0.00275112527208677,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c13afffff,112.49260021724001,123.92436347437112,11.43176325713111,1.1016223576933475,True,False,2312.824456554442,388.8627256726282,0.19223552690370813,1636.0,1612.0,-24.0,24.0,0.010289630812103693,0.011335287355023784,0.0010456565429200915,False,False,False,False,False,no_crossing
8930e1c13b3ffff,287.17356756516153,312.6070102982801,25.433442733118568,1.0885647065249051,True,False,1792.2930595932232,379.812136161023,0.18576618055963903,3638.0,3523.0,-115.0,115.0,0.025340463287348562,0.027584733981597723,0.0022442706942491612,False,True,True,False,False,threshold_crossing_under_environment_cost
8930e1c13b7ffff,10.426820956542167,11.475543066344153,1.0487221098019859,1.1005792766724338,True,False,2117.8384856609673,402.247936786177,0.18491653379674156,471.0,468.0,-3.0,3.0,0.0009156513386304009,0.0010077468879539924,9.209554932359143e-05,False,False,False,False,False,no_crossing
